2022-06-21 18:51:11,409 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@43f17364: startup date [Tue Jun 21 18:51:11 CEST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-06-23 15:23:40,964 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@43f17364: startup date [Thu Jun 23 15:23:40 CEST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-06-23 15:23:43,738 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-23 15:23:43,911 | INFO  | KahaDB is version 7 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2022-06-23 15:23:44,053 | INFO  | PListStore:[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-06-23 15:23:44,356 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-54267-1655990624105-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-23 15:23:44,803 | INFO  | Listening for connections at: tcp://DESKTOP-9N93JCG:6616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-23 15:23:44,808 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-23 15:23:44,848 | INFO  | Listening for connections at: amqp://DESKTOP-9N93JCG:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-23 15:23:44,851 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-23 15:23:44,861 | INFO  | Listening for connections at: stomp://DESKTOP-9N93JCG:6613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-23 15:23:44,865 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-23 15:23:44,880 | INFO  | Listening for connections at: mqtt://DESKTOP-9N93JCG:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-23 15:23:44,887 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-23 15:23:44,898 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-06-23 15:23:45,142 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-06-23 15:23:45,314 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@4ec89299{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2022-06-23 15:23:45,505 | INFO  | Listening for connections at ws://DESKTOP-9N93JCG:6614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2022-06-23 15:23:45,506 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-23 15:23:45,508 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-54267-1655990624105-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-23 15:23:45,511 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-23 15:23:48,116 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-06-23 15:23:48,117 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-06-23 15:26:19,061 | INFO  | Connector vm://localhost started | org.apache.activemq.broker.TransportConnector | qtp1374428987-42
2022-06-23 15:27:16,159 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-54267-1655990624105-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-06-23 15:27:16,322 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-06-23 15:27:16,328 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-06-23 15:27:16,437 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-06-23 15:27:16,440 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-06-23 15:27:16,440 | INFO  | socketQueue interrupted - stopping | org.apache.activemq.transport.tcp.TcpTransportServer | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:27:16,444 | INFO  | Could not accept connection during shutdown  : null (null) | org.apache.activemq.broker.TransportConnector | ActiveMQ Transport Server Thread Handler: mqtt://0.0.0.0:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
2022-06-23 15:27:17,058 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-06-23 15:27:17,100 | INFO  | Connector vm://localhost stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2022-06-23 15:27:17,106 | INFO  | PListStore:[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2022-06-23 15:27:17,107 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-06-23 15:27:17,109 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-06-23 15:27:17,111 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2022-06-23 15:27:17,140 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-54267-1655990624105-0:1) uptime 3 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-06-23 15:27:17,141 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-54267-1655990624105-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2022-06-23 15:27:17,143 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@43f17364: startup date [Thu Jun 23 15:23:40 CEST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2022-06-27 19:51:30,389 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@43f17364: startup date [Mon Jun 27 19:51:30 CEST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2022-06-27 19:51:32,495 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-27 19:51:32,619 | INFO  | KahaDB is version 7 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2022-06-27 19:51:32,685 | INFO  | PListStore:[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2022-06-27 19:51:32,913 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-58823-1656352292752-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-27 19:51:33,070 | INFO  | Listening for connections at: tcp://DESKTOP-9N93JCG:6616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-27 19:51:33,073 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-27 19:51:33,080 | INFO  | Listening for connections at: amqp://DESKTOP-9N93JCG:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-27 19:51:33,082 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-27 19:51:33,091 | INFO  | Listening for connections at: stomp://DESKTOP-9N93JCG:6613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-27 19:51:33,096 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-27 19:51:33,105 | INFO  | Listening for connections at: mqtt://DESKTOP-9N93JCG:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2022-06-27 19:51:33,108 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-27 19:51:33,122 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-06-27 19:51:33,300 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | WrapperSimpleAppMain
2022-06-27 19:51:33,457 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@4ec89299{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
2022-06-27 19:51:33,623 | INFO  | Listening for connections at ws://DESKTOP-9N93JCG:6614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | WrapperSimpleAppMain
2022-06-27 19:51:33,624 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2022-06-27 19:51:33,626 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-58823-1656352292752-0:1) started | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-27 19:51:33,628 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2022-06-27 19:51:35,471 | INFO  | ActiveMQ WebConsole available at http://127.0.0.1:8161/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-06-27 19:51:35,471 | INFO  | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | WrapperSimpleAppMain
2022-06-27 22:56:29,063 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-58823-1656352292752-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-23
2022-06-27 22:56:29,090 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2022-06-27 22:56:29,096 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2022-06-27 22:56:29,102 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2022-06-27 22:56:29,111 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2022-06-27 22:56:29,202 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-23
2022-06-27 22:56:29,219 | INFO  | PListStore:[C:\Users\Abhi\Desktop\Disys-SemesterProject\Queue\apache-activemq-5.16.5\bin\win64\..\..\data\localhost\tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-23
2022-06-27 22:56:29,224 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2022-06-27 22:56:29,224 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2022-06-27 22:56:29,224 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-23
2022-06-27 22:56:29,275 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-58823-1656352292752-0:1) uptime 3 hours 4 minutes | org.apache.activemq.broker.BrokerService | Thread-23
2022-06-27 22:56:29,279 | INFO  | Apache ActiveMQ 5.16.5 (localhost, ID:DESKTOP-9N93JCG-58823-1656352292752-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-23
2022-06-27 22:56:29,279 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@43f17364: startup date [Mon Jun 27 19:51:30 CEST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-23
